TableName,Columns
DataStudio_ServiceTree_ServiceCommonMetadata_Snapshot,"[""; ChangeVersion; ServiceId; ServiceLevel; ServiceName; DevOwner; PMOwner; Admins; ServiceType""]"
DataStudio_ServiceTree_ServiceCommonMetadataPerCloud_Snapshot,"[""; ChangeVersion; AzureCloud; ServiceId; ServiceLevel; ServiceName; Lifecycle""]"
ServiceTree_Variant_Snapshot,"[""; Id; Status; Name; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_ServiceMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; AzureCloud; ServiceInternalId; MetadataDefinitionInternalId; ProvisioningStatusInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_FeatureValue_Snapshot,"[""; Id; Status; Value; FeatureInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_OrganizationHierarchy_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Level; Name; Description; Tags; Comments; ParentDivisionInternalId; ParentOrganizationInternalId; ParentServiceGroupInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ProductSkuMetadata_Snapshot,"[""; Id; Status; MetadataDefinitionInternalId; Value; AzureCloud; Created; CreatedBy; Modified; ModifiedBy; ProductSkuId""]"
ServiceTreePpe_ServiceHierarchy_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Level; Name; ShortName; Description; Tags; Admins; IsBuiltByMicrosoft; IsExternalFacing; Comments; ParentServiceGroupInternalId; ParentTeamGroupInternalId; ParentServiceInternalId; ParentMicroServiceInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_AzureSubscription_Snapshot,"[""; Id; ChangeVersion; Status; SubscriptionId; SubscriptionName; AzureCloud; Environment; IsHostedOnBehalfOf; ServiceInternalId; Notes; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ProductSkuToService_Snapshot,"[""; PurchasableId; ServiceId""]"
ServiceTree_FeatureToService_Snapshot,"[""; VariantValueId; ServiceId""]"
ServiceTree_ProductSku_Snapshot,"[""; PurchasableId; ProductSkuId; Sku; Name; OfferingInternalId; EntityState; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Feature_Snapshot,"[""; VariantValueId; OId; Value; VariantId; EntityState; Created; CreatedBy; Modified; ModifiedBy; PurchasableId""]"
